# 2019 07 04 00 56 37.62  36.0808 -117.8780  2.81  0.89  0.20  0.42  0.07 179  20  10   4         1
WRV2 CI  1.7400 P 0.05 D  I   8.20
WCS2 CI  2.3400 P 0.01    E  11.80
WCS2 CI  4.0000 S 0.15    E  11.80
JRC2 CI  2.4900 P 0.04 D  I  12.50
JRC2 CI  4.2800 S 0.19    E  12.50
B916 PB  4.0000 P 0.06    E  22.50
B916 PB  7.1100 S 0.17    E  22.50
WRC2 CI  4.5900 P 0.03    E  25.20
WRC2 CI  8.1600 S 0.31    E  25.20
WNM  CI  4.6900 P 0.10 D  I  26.60
B918 PB  5.2700 P 0.02    E  29.60
B918 PB  9.2500 S 0.27    E  29.60
MPM  CI  6.1700 P 0.02 U  I  35.00
MPM  CI 10.7900 S 0.31    E  35.00
WMF  CI  1.1100 P 0.01    E   4.50
WMF  CI  1.9300 S 0.14    E   4.50
WNM  CI  8.3200 S 0.26    E  26.60
DAW  CI 10.1200 S 0.22    E  33.20
CLC  CI 11.7500 S 0.16    E  38.80
CGO  CI  9.1400 P 0.12    E  52.60
# 2019 07 04 03 20 28.91  36.1135 -117.6730  2.66  0.94  0.18  0.86  0.12  75  28  14   5         2
B916 PB  1.7700 P 0.05 D  I   8.70
B916 PB  3.1500 S 0.25    E   8.70
WCS2 CI  2.4900 P 0.01 U  I  12.80
WCS2 CI  4.3400 S 0.21    E  12.80
MPM  CI  3.3000 P 0.06 U  I  17.60
MPM  CI  5.7500 S 0.31    E  17.60
JRC2 CI  3.5300 P 0.01    E  19.00
JRC2 CI  6.1500 S 0.18    E  19.00
B918 PB  3.6800 P 0.10    E  20.70
B918 PB  6.3900 S 0.01    E  20.70
WVP2 CI  4.0300 P 0.11    E  22.40
WRV2 CI  4.1000 P 0.07 U  I  22.80
CLC  CI  5.8800 P 0.11    E  33.70
CLC  CI 10.1600 S 0.03    E  33.70
WMF  CI  3.0700 P 0.00 U  I  16.30
WMF  CI  5.5800 S 0.42    E  16.30
WRC2 CI  3.4600 P 0.01    E  18.50
WRC2 CI  6.0100 S 0.14    E  18.50
DAW  CI  3.3100 P 0.28    E  19.00
DAW  CI  5.9000 S 0.28    E  19.00
WVP2 CI  7.1400 S 0.15    E  22.40
CGO  CI 15.0000 S 0.30    E  49.90
B921 PB 10.5100 P 0.02    E  61.60
B921 PB 18.1200 S 0.21    E  61.60
B917 PB 14.5300 P 0.06    E  87.10
B917 PB 25.4400 S 0.56    E  87.10
LEC  SN 17.1500 P 0.26    E  101.10
LEC  SN 28.5700 S 0.43    E  101.10
# 2019 07 04 04 03  1.48  36.0147 -117.8042  1.40  0.54  0.14  0.21  0.08  74  21  11   5         3
JRC2 CI  0.8300 P 0.02    E   3.60
WCS2 CI  0.8300 P 0.01 U  I   3.60
WCS2 CI  1.4000 S 0.14    E   3.60
WVP2 CI  1.4100 P 0.07 D  I   7.30
WRV2 CI  1.5600 P 0.04 U  I   7.70
WRC2 CI  3.0600 P 0.00 U  I  15.70
WRC2 CI  5.2800 S 0.14    E  15.70
B918 PB  3.7500 P 0.06    E  20.20
B918 PB  6.6500 S 0.21    E  20.20
B916 PB  4.2600 P 0.02    E  23.20
B916 PB  7.1700 S 0.15    E  23.20
JRC2 CI  1.5600 S 0.28    E   3.60
WVP2 CI  2.6000 S 0.18    E   7.30
WMF  CI  2.3300 P 0.03 U  I  12.30
WMF  CI  4.2100 S 0.28    E  12.30
MPM  CI  5.2100 P 0.04    E  28.70
MPM  CI  9.0800 S 0.19    E  28.70
CLC  CI  9.5900 S 0.59    E  28.90
DAW  CI  6.4400 P 0.11    E  34.30
DAW  CI 11.0700 S 0.20    E  34.30
WHF  CI 18.0400 S 0.12    E  60.80
# 2019 07 04 11 51  8.11  36.1135 -117.6703  2.53  0.78  0.18  0.73  0.12  71  32  18   7         4
B916 PB  1.7000 P 0.01 U  I   8.70
B916 PB  3.1900 S 0.30    I   8.70
WCS2 CI  2.5300 P 0.01    E  13.00
WCS2 CI  4.5300 S 0.35    E  13.00
WMF  CI  3.0400 P 0.08 U  I  16.50
WMF  CI  5.5300 S 0.30    I  16.50
MPM  CI  3.2600 P 0.05 U  I  17.40
MPM  CI  5.7400 S 0.37    E  17.40
WRC2 CI  3.4600 P 0.01 D  I  18.50
WRC2 CI  6.1400 S 0.28    I  18.50
DAW  CI  3.7400 P 0.15    E  18.90
DAW  CI  5.8600 S 0.30    I  18.90
JRC2 CI  3.5500 P 0.02 U  I  19.10
JRC2 CI  6.2500 S 0.23    E  19.10
B918 PB  3.6700 P 0.10    E  20.70
B918 PB  6.4600 S 0.10    E  20.70
WVP2 CI  7.3300 S 0.28    E  22.50
WRV2 CI  4.1000 P 0.11 U  I  23.00
CLC  CI  5.8800 P 0.11 D  I  33.70
CLC  CI 10.2000 S 0.01    E  33.70
TOW2 CI  6.6500 P 0.15    E  34.90
TOW2 CI 12.2300 S 1.60    E  34.90
WNM  CI  6.4800 P 0.03    E  36.80
WNM  CI 11.4500 S 0.45    E  36.80
CGO  CI 14.9000 S 0.17    E  50.00
B921 PB 18.0500 S 0.14    E  61.50
HEL  SN 26.2100 S 0.39    E  92.00
SPG2 CI 16.7800 P 0.32    E  98.80
SPG2 CI 28.0300 S 0.03    E  98.80
LEC  SN 17.0700 P 0.20    E  100.90
LEC  SN 28.7900 S 0.17    E  100.90
POR  CI 34.1800 S 0.02    E  119.70
# 2019 07 04 16 07 20.26  35.7075 -117.5005 11.13  0.36  0.26  0.56  0.11 103  25  12   5         5
B921 PB  2.9800 P 0.05 D  I  13.80
B921 PB  5.3400 S 0.22    E  13.80
CLC  CI  3.1900 P 0.02 D  I  14.80
CLC  CI  5.2900 S 0.05    E  14.80
SRT  CI  4.5800 P 0.00 U  I  22.60
CCC  CI  4.8300 P 0.15    E  23.70
CCC  CI  8.7100 S 0.80    E  23.70
TOW2 CI  5.2200 P 0.06 U  I  26.30
B918 PB  4.8100 P 0.10    E  26.90
B918 PB  8.4500 S 0.15    E  26.90
SLA  CI  5.0300 P 0.21    E  28.20
SLA  CI  9.1800 S 0.33    E  28.20
WRC2 CI  5.4200 P 0.03 D  I  29.90
WRC2 CI  9.6100 S 0.37    E  29.90
MPM  CI  6.7900 P 0.03    E  38.90
MPM  CI 12.1900 S 0.73    E  38.90
B917 PB  6.9300 P 0.04    E  40.00
B917 PB 11.9700 S 0.16    E  40.00
JRC2 CI  7.2100 P 0.00    E  41.30
JRC2 CI 12.3300 S 0.08    E  41.30
B916 PB 16.3100 S 0.23    E  56.00
DTP  CI  9.6900 P 0.10    E  58.00
DTP  CI 16.9300 S 0.30    E  58.00
